Dla a = 1, b = 1, c = 4
W zakresie 0 do 20
Ilosc krokow 40
n x y
1 0.00 4.000000
2 0.50 4.750000
3 1.00 6.000000
4 1.50 7.750000
5 2.00 10.000000
6 2.50 12.750000
7 3.00 16.000000
8 3.50 19.750000
9 4.00 24.000000
10 4.50 28.750000
11 5.00 34.000000
12 5.50 39.750000
13 6.00 46.000000
14 6.50 52.750000
15 7.00 60.000000
16 7.50 67.750000
17 8.00 76.000000
18 8.50 84.750000
19 9.00 94.000000
20 9.50 103.750000
21 10.00 114.000000
22 10.50 124.750000
23 11.00 136.000000
24 11.50 147.750000
25 12.00 160.000000
26 12.50 172.750000
27 13.00 186.000000
28 13.50 199.750000
29 14.00 214.000000
30 14.50 228.750000
31 15.00 244.000000
32 15.50 259.750000
33 16.00 276.000000
34 16.50 292.750000
35 17.00 310.000000
36 17.50 327.750000
37 18.00 346.000000
38 18.50 364.750000
39 19.00 384.000000
40 19.50 403.750000
41 20.00 424.000000
